"Entity/Table Name","Entity/Table Physical_Name","Comment","Definition","Attribute/Column Name","Attribute/Column Physical_Name","Attribute.Physical.SPI_CLASSIFICATION","Comment","Definition","Is FK","Is PK","Logical Data Type","Physical Data Type"
HUB_POLICY,HUB_POLICY,Holds business hash key for a policy. ,Holds business hash key for a policy. ,LOAD_TIMESTAMP,LOAD_TIMESTAMP,Confidential,Time and date the record was loaded into the table.,Time and date the record was loaded into the table.,false,false,TIMESTAMP,TIMESTAMP
HUB_POLICY,HUB_POLICY,Holds business hash key for a policy. ,Holds business hash key for a policy. ,RECORD_SOURCE,RECORD_SOURCE,Confidential,"Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.","Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.",false,false,VARCHAR(100),VARCHAR(100)
HUB_POLICY,HUB_POLICY,Holds business hash key for a policy. ,Holds business hash key for a policy. ,POLICY_NUMBER,POLICY_NUMBER,Confidential,Business Natural Key for a Policy.,Business Natural Key for a Policy.,false,false,VARCHAR(50),VARCHAR(50)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,LOAD_TIMESTAMP,LOAD_TIMESTAMP,Confidential,Time and date the record was loaded into the table.,Time and date the record was loaded into the table.,false,true,TIMESTAMP,TIMESTAMP
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,POLICY_HAS_POLICY_TRANSACTION_HK,POLICY_HAS_POLICY_TRANSACTION_HK,Confidential,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,Hash key of the natural key for the associated table/concept/domain/subject area  in the source system.,true,true,BINARY(16),BINARY(16)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,RECORD_SOURCE,RECORD_SOURCE,Confidential,"Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.","Manually assigned text value representing the data source from which the record originated. Ex - PEAK, OASIS, RATABASE, ATLAS, etc.",false,false,VARCHAR(100),VARCHAR(100)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,HASHDIFF,HASHDIFF,Confidential,Checksum value used to detect record level changes in the source system for values stored in the satellite target table. Should always include the hash key (HK) for the record from the hub table as well as all descriptive (non data vault specific metadata fields) in the satellite table. For a list of all satellite fields which should be included in the hashdiff of the table look at the UDP named INCLUDE_IN_HASHDIFF. If it is set to true then it shoudl be included else it is not included.,Checksum value used to detect record level changes in the source system for values stored in the satellite target table. Should always include the hash key (HK) for the record from the hub table as well as all descriptive (non data vault specific metadata fields) in the satellite table. For a list of all satellite fields which should be included in the hashdiff of the table look at the UDP named INCLUDE_IN_HASHDIFF. If it is set to true then it shoudl be included else it is not included.,false,false,BINARY(16),BINARY(16)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,EFFECTIVE_TIMESTAMP,EFFECTIVE_TIMESTAMP,Confidential,Should be set to beginning of day (time) when being set for a specific date.,Should be set to beginning of day (time) when being set for a specific date.,false,false,TIMESTAMP,TIMESTAMP
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,POLICY_NUMBER,POLICY_NUMBER,Confidential,"Number assigned to a policy. It is unique and is printed on the DEC page to identify the policy to the policyholder. This is duplicated on purpose so that this information will be included when publishing the policy change event for downstream.

SPII
Restricted General- PII Partial

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Number assigned to a policy. It is unique and is printed on the DEC page to identify the policy to the policyholder. This is duplicated on purpose so that this information will be included when publishing the policy change event for downstream.

SPII
Restricted General- PII Partial

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,POLICYREADONLYHISTORYID,POLICYREADONLYHISTORYID,Confidential,"This is the primary key of the ADC history table; at Geico, there is no equivalent field.Unique identifier to retrieve this business transaction's historical data from the DuckCreek database. This ID is globally unique can be used to retrieve data from a specificPolicy contract point in time via the Policy API. The history ID and the data associatedto a policy image indexed by the history ID is always unique. When an out-of-sequenceevent occurs, this history ID stays unchanged, other than it being marked as ""deprecated""or no longer applying (represented by an ""offset"" event message). When the automatic OOSreconciliation process occurs, a new history ID will represent the modified history asan ""onset"" event. 


SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","This is the primary key of the ADC history table; at Geico, there is no equivalent field.Unique identifier to retrieve this business transaction's historical data from the DuckCreek database. This ID is globally unique can be used to retrieve data from a specificPolicy contract point in time via the Policy API. The history ID and the data associatedto a policy image indexed by the history ID is always unique. When an out-of-sequenceevent occurs, this history ID stays unchanged, other than it being marked as ""deprecated""or no longer applying (represented by an ""offset"" event message). When the automatic OOSreconciliation process occurs, a new history ID will represent the modified history asan ""onset"" event. 


SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,INCLUDEDELETED,INCLUDEDELETED,Confidential,"Not in PEAK DATA MODEL; Need definition and classification from business

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Not in PEAK DATA MODEL; Need definition and classification from business

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",false,false,BOOLEAN,BOOLEAN
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,PRODUCTKIND,PRODUCTKIND,Confidential,"This is a new field as part of the modernization process. This is the insurance product under which the policy is written with. Under the new moderrnization, the possible insurance products are Auto, Cycle, Umbrella, etc.	

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","This is a new field as part of the modernization process. This is the insurance product under which the policy is written with. Under the new moderrnization, the possible insurance products are Auto, Cycle, Umbrella, etc.	

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,RETRIEVEPOLICY_ID,RETRIEVEPOLICY_ID,Confidential,"Not in PEAK DATA MODEL; Need definition and classification from business

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Not in PEAK DATA MODEL; Need definition and classification from business

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DATA_ID,DATA_ID,Confidential,"Not in PEAK DATA MODEL; Need definition and classification from business

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Not in PEAK DATA MODEL; Need definition and classification from business

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,POLICY_ID,POLICY_ID,Confidential,"Unique GUID generated in ADC for policy node. This GUID will not change throughout the policy life. This field is for ADC internal usage and there is no equivalent field at Geico Oasis model.  

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Unique GUID generated in ADC for policy node. This GUID will not change throughout the policy life. This field is for ADC internal usage and there is no equivalent field at Geico Oasis model.  

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,ACCOUNTID,ACCOUNTID,Confidential,"This is a billing account Id associated with this policy; it is used for billing.

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","This is a billing account Id associated with this policy; it is used for billing.

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,AGENTID,AGENTID,Restricted General - PII,"The associate number of the individual who sold the policy; no equivalent field at Geico. For Geico Associates: A unique identification number assigned to a GEICO associate. For GDR Non Employees: A unique identification in the format of GDR#####. Marketing Associate Non GDR/Non Employees: A unique identification in the format of MKT#####.	

SPII
Restricted General- PII


Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","The associate number of the individual who sold the policy; no equivalent field at Geico. For Geico Associates: A unique identification number assigned to a GEICO associate. For GDR Non Employees: A unique identification in the format of GDR#####. Marketing Associate Non GDR/Non Employees: A unique identification in the format of MKT#####.	

SPII
Restricted General- PII


Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,AIPVOLUNTARYRATEINDICATOR,AIPVOLUNTARYRATEINDICATOR,Confidential,"Indicates whether the voluntary or MAIP rate was applied for a Massachusetts assigned risk policy. In MA, we have to compare AIP and Voluntary rates and apply the lower of the two.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd

","Indicates whether the voluntary or MAIP rate was applied for a Massachusetts assigned risk policy. In MA, we have to compare AIP and Voluntary rates and apply the lower of the two.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd

",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,APPLICATIONORIGINALWRITTENDATE,APPLICATIONORIGINALWRITTENDATE,Confidential,"Date the information on the policy application was actually entered into the system. For an AssignedRisk policy, it is the date that the application for coverage was first completed. This is typically the date that the policyholder went to the Broker for coverage. For Voluntary policies, this value is set by Sales as QuoteApplicationWrittenDate. For AssignedRisk (AIP) policies, this value is set by Oasis.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Date the information on the policy application was actually entered into the system. For an AssignedRisk policy, it is the date that the application for coverage was first completed. This is typically the date that the policyholder went to the Broker for coverage. For Voluntary policies, this value is set by Sales as QuoteApplicationWrittenDate. For AssignedRisk (AIP) policies, this value is set by Oasis.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,AVAILABLEVEHICLENUMBERID,AVAILABLEVEHICLENUMBERID,Confidential,"A system generated GUID used to support out of sequence vehicle numbering across policy terms. This element, in accordance with the Processing Data Named Document, will allow for the next vehicle number to be assigned to a vehicle being added Out Of Sequence.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","A system generated GUID used to support out of sequence vehicle numbering across policy terms. This element, in accordance with the Processing Data Named Document, will allow for the next vehicle number to be assigned to a vehicle being added Out Of Sequence.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CANCELLATIONDATE,CANCELLATIONDATE,Confidential,"Only need to map if the transaction is a cancellation; this is the date on which the policy was/will be cancelled. This is a place holder for convenience so that the cancellation date can be obtained without seraching throughout multiple fields. This is an OOB element from ADC	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Only need to map if the transaction is a cancellation; this is the date on which the policy was/will be cancelled. This is a place holder for convenience so that the cancellation date can be obtained without seraching throughout multiple fields. This is an OOB element from ADC	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CAPPINGPREVIOUSLOBCODE,CAPPINGPREVIOUSLOBCODE,Confidential,"The previous LOB code generated by Ratabase formulas after evaluating the Risk Group and Policy Lifetime Score Cap Indicators	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","The previous LOB code generated by Ratabase formulas after evaluating the Risk Group and Policy Lifetime Score Cap Indicators	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,COMPANYINCEPTIONDATE,COMPANYINCEPTIONDATE,Confidential,"Original Policy Inception Date with the Current Company.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Original Policy Inception Date with the Current Company.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CONTRACTOVERRIDE,CONTRACTOVERRIDE,Confidential,"Indicator specifying whether or not the automatically generated contract has been overridden	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Indicator specifying whether or not the automatically generated contract has been overridden	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CONTRACTREVIEWDATE,CONTRACTREVIEWDATE,Confidential,"Policy contract review date; there is not one-to-one direct mapping from the current system. But it can be derived based on PTM and NCO review date	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Policy contract review date; there is not one-to-one direct mapping from the current system. But it can be derived based on PTM and NCO review date	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CONTRACTTYPE,CONTRACTTYPE,Confidential,"Code identifying type of contract. (An insurance policy is a contract.)	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Code identifying type of contract. (An insurance policy is a contract.)	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CONTRACTTYPEASSIGNDATE,CONTRACTTYPEASSIGNDATE,Confidential,"No direct mapping. The date either primetime, Non-commissioned officer, or family contract is assigned to the policy	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","No direct mapping. The date either primetime, Non-commissioned officer, or family contract is assigned to the policy	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CORPORATEINCEPTIONDATE,CORPORATEINCEPTIONDATE,Confidential,"Original policy inception date with the Corporation	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Original policy inception date with the Corporation	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CTRAUTHORIZATIONSTATUS,CTRAUTHORIZATIONSTATUS,Confidential,"Consent to Rate Authorization Received Code. This column stores the source of and the policyholder’s decision to either accept or reject the Consent to Rate Premium

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Consent to Rate Authorization Received Code. This column stores the source of and the policyholder’s decision to either accept or reject the Consent to Rate Premium

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CTRRECEIVEDDATE,CTRRECEIVEDDATE,Confidential,"Date that NC Consent to Rate was received from the policy holder in paper form or as a result of e-signature.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Date that NC Consent to Rate was received from the policy holder in paper form or as a result of e-signature.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CTRSENTDATE,CTRSENTDATE,Confidential,"Date that the NC Consent to Rate form was assigned by the Oasis Forms process as a result of a policy transaction.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Date that the NC Consent to Rate form was assigned by the Oasis Forms process as a result of a policy transaction.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DECLINEOVERRIDE,DECLINEOVERRIDE,Confidential,"This indicates the override action has been declined. No equivelant field at Geico.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","This indicates the override action has been declined. No equivelant field at Geico.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,BOOLEAN,BOOLEAN
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DECLINEOVERRIDEUSER,DECLINEOVERRIDEUSER,Restricted General - PII,"the user id of the person declines the override action; no equivalent field at Geico	

SPII
Restricted General- PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","the user id of the person declines the override action; no equivalent field at Geico	

SPII
Restricted General- PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DECPACKAGETYPECODE,DECPACKAGETYPECODE,Confidential,"Code identifying the type of declaration package that is sent to the policyholder	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Code identifying the type of declaration package that is sent to the policyholder	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DEPENDENTS,DEPENDENTS,Confidential,"Not in PEAK DATA MODEL; Need definition and classification from business

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Not in PEAK DATA MODEL; Need definition and classification from business

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,"NUMBER(38,0)","NUMBER(38,0)"
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,EFFECTIVEDATE,EFFECTIVEDATE,Confidential,"The starting date of a policy term.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","The starting date of a policy term.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,EFFECTIVETYPECODE,EFFECTIVETYPECODE,Confidential,"Code identifying the type of policy activity or transaction processed for this policy, e.g., New Business, Renewal, Cancellation, etc. Note: when there is a business need to further define a particular effective/expiration type code, this additional information is stored in a reason amended code. For example, a row with an EFFECTIVE_TYPE_CD of 'N' identifies the transaction as being New Business. With a POL_REA_AMD_CD of 'SO', the new business transaction is further defined as a spin-off within the Oasis Service application. For more information about reason amended codes, refer to the description of POL_REA_AMD_CD on the POL_INS_LINE data table.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Code identifying the type of policy activity or transaction processed for this policy, e.g., New Business, Renewal, Cancellation, etc. Note: when there is a business need to further define a particular effective/expiration type code, this additional information is stored in a reason amended code. For example, a row with an EFFECTIVE_TYPE_CD of 'N' identifies the transaction as being New Business. With a POL_REA_AMD_CD of 'SO', the new business transaction is further defined as a spin-off within the Oasis Service application. For more information about reason amended codes, refer to the description of POL_REA_AMD_CD on the POL_INS_LINE data table.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,EXPIRATIONDATE,EXPIRATIONDATE,Confidential,"The last date of a policy term	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","The last date of a policy term	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",false,false,DATE,DATE
