Entity/Table Name,Entity/Table Physical_Name,Comment,Definition,Attribute/Column Name,Attribute/Column Physical_Name,Comment,Definition,Is FK,Is PK,Logical Data Type,Physical Data Type
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DATA_ID,DATA_ID,"Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,POLICY_ID,POLICY_ID,"Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","Not in PEAK DATA MODEL; Need definition and classification from business

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,ACCOUNTID,ACCOUNTID,"This is a billing account Id associated with this policy; it is used for billing.

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd","This is a billing account Id associated with this policy; it is used for billing.

SPII 
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,AGENTID,AGENTID,"The associate number of the individual who sold the policy; no equivalent field at Geico. For Geico Associates: A unique identification number assigned to a GEICO associate. For GDR Non Employees: A unique identification in the format of GDR#####. Marketing Associate Non GDR/Non Employees: A unique identification in the format of MKT#####.	

SPII
Restricted General- PII


Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","The associate number of the individual who sold the policy; no equivalent field at Geico. For Geico Associates: A unique identification number assigned to a GEICO associate. For GDR Non Employees: A unique identification in the format of GDR#####. Marketing Associate Non GDR/Non Employees: A unique identification in the format of MKT#####.	

SPII
Restricted General- PII


Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,AIPVOLUNTARYRATEINDICATOR,AIPVOLUNTARYRATEINDICATOR,"Indicates whether the voluntary or MAIP rate was applied for a Massachusetts assigned risk policy. In MA, we have to compare AIP and Voluntary rates and apply the lower of the two.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd

","Indicates whether the voluntary or MAIP rate was applied for a Massachusetts assigned risk policy. In MA, we have to compare AIP and Voluntary rates and apply the lower of the two.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd

",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,APPLICATIONORIGINALWRITTENDATE,APPLICATIONORIGINALWRITTENDATE,"Date the information on the policy application was actually entered into the system. For an AssignedRisk policy, it is the date that the application for coverage was first completed. This is typically the date that the policyholder went to the Broker for coverage. For Voluntary policies, this value is set by Sales as QuoteApplicationWrittenDate. For AssignedRisk (AIP) policies, this value is set by Oasis.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Date the information on the policy application was actually entered into the system. For an AssignedRisk policy, it is the date that the application for coverage was first completed. This is typically the date that the policyholder went to the Broker for coverage. For Voluntary policies, this value is set by Sales as QuoteApplicationWrittenDate. For AssignedRisk (AIP) policies, this value is set by Oasis.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,AVAILABLEVEHICLENUMBERID,AVAILABLEVEHICLENUMBERID,"A system generated GUID used to support out of sequence vehicle numbering across policy terms. This element, in accordance with the Processing Data Named Document, will allow for the next vehicle number to be assigned to a vehicle being added Out Of Sequence.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","A system generated GUID used to support out of sequence vehicle numbering across policy terms. This element, in accordance with the Processing Data Named Document, will allow for the next vehicle number to be assigned to a vehicle being added Out Of Sequence.	

SPII
General Non PII	

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CANCELLATIONDATE,CANCELLATIONDATE,"Only need to map if the transaction is a cancellation; this is the date on which the policy was/will be cancelled. This is a place holder for convenience so that the cancellation date can be obtained without seraching throughout multiple fields. This is an OOB element from ADC	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Only need to map if the transaction is a cancellation; this is the date on which the policy was/will be cancelled. This is a place holder for convenience so that the cancellation date can be obtained without seraching throughout multiple fields. This is an OOB element from ADC	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CAPPINGPREVIOUSLOBCODE,CAPPINGPREVIOUSLOBCODE,"The previous LOB code generated by Ratabase formulas after evaluating the Risk Group and Policy Lifetime Score Cap Indicators	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","The previous LOB code generated by Ratabase formulas after evaluating the Risk Group and Policy Lifetime Score Cap Indicators	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,COMPANYINCEPTIONDATE,COMPANYINCEPTIONDATE,"Original Policy Inception Date with the Current Company.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Original Policy Inception Date with the Current Company.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CONTRACTOVERRIDE,CONTRACTOVERRIDE,"Indicator specifying whether or not the automatically generated contract has been overridden	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Indicator specifying whether or not the automatically generated contract has been overridden	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CONTRACTREVIEWDATE,CONTRACTREVIEWDATE,"Policy contract review date; there is not one-to-one direct mapping from the current system. But it can be derived based on PTM and NCO review date	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Policy contract review date; there is not one-to-one direct mapping from the current system. But it can be derived based on PTM and NCO review date	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CONTRACTTYPE,CONTRACTTYPE,"Code identifying type of contract. (An insurance policy is a contract.)	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Code identifying type of contract. (An insurance policy is a contract.)	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CONTRACTTYPEASSIGNDATE,CONTRACTTYPEASSIGNDATE,"No direct mapping. The date either primetime, Non-commissioned officer, or family contract is assigned to the policy	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","No direct mapping. The date either primetime, Non-commissioned officer, or family contract is assigned to the policy	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CORPORATEINCEPTIONDATE,CORPORATEINCEPTIONDATE,"Original policy inception date with the Corporation	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Original policy inception date with the Corporation	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CTRAUTHORIZATIONSTATUS,CTRAUTHORIZATIONSTATUS,"Consent to Rate Authorization Received Code. This column stores the source of and the policyholder’s decision to either accept or reject the Consent to Rate Premium

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Consent to Rate Authorization Received Code. This column stores the source of and the policyholder’s decision to either accept or reject the Consent to Rate Premium

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CTRRECEIVEDDATE,CTRRECEIVEDDATE,"Date that NC Consent to Rate was received from the policy holder in paper form or as a result of e-signature.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Date that NC Consent to Rate was received from the policy holder in paper form or as a result of e-signature.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,CTRSENTDATE,CTRSENTDATE,"Date that the NC Consent to Rate form was assigned by the Oasis Forms process as a result of a policy transaction.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Date that the NC Consent to Rate form was assigned by the Oasis Forms process as a result of a policy transaction.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DECLINEOVERRIDE,DECLINEOVERRIDE,"This indicates the override action has been declined. No equivelant field at Geico.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","This indicates the override action has been declined. No equivelant field at Geico.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,BOOLEAN,BOOLEAN
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DECLINEOVERRIDEUSER,DECLINEOVERRIDEUSER,"the user id of the person declines the override action; no equivalent field at Geico	

SPII
Restricted General- PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","the user id of the person declines the override action; no equivalent field at Geico	

SPII
Restricted General- PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DECPACKAGETYPECODE,DECPACKAGETYPECODE,"Code identifying the type of declaration package that is sent to the policyholder	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Code identifying the type of declaration package that is sent to the policyholder	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,DEPENDENTS,DEPENDENTS,"Not in PEAK DATA MODEL; Need definition and classification from business

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Not in PEAK DATA MODEL; Need definition and classification from business

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,"NUMBER(38,0)","NUMBER(38,0)"
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,EFFECTIVEDATE,EFFECTIVEDATE,"The starting date of a policy term.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","The starting date of a policy term.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,EFFECTIVETYPECODE,EFFECTIVETYPECODE,"Code identifying the type of policy activity or transaction processed for this policy, e.g., New Business, Renewal, Cancellation, etc. Note: when there is a business need to further define a particular effective/expiration type code, this additional information is stored in a reason amended code. For example, a row with an EFFECTIVE_TYPE_CD of 'N' identifies the transaction as being New Business. With a POL_REA_AMD_CD of 'SO', the new business transaction is further defined as a spin-off within the Oasis Service application. For more information about reason amended codes, refer to the description of POL_REA_AMD_CD on the POL_INS_LINE data table.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Code identifying the type of policy activity or transaction processed for this policy, e.g., New Business, Renewal, Cancellation, etc. Note: when there is a business need to further define a particular effective/expiration type code, this additional information is stored in a reason amended code. For example, a row with an EFFECTIVE_TYPE_CD of 'N' identifies the transaction as being New Business. With a POL_REA_AMD_CD of 'SO', the new business transaction is further defined as a spin-off within the Oasis Service application. For more information about reason amended codes, refer to the description of POL_REA_AMD_CD on the POL_INS_LINE data table.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,EXPIRATIONDATE,EXPIRATIONDATE,"The last date of a policy term	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","The last date of a policy term	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,FASTTRACKRENEWALINDICATOR,FASTTRACKRENEWALINDICATOR,"Code indicating if the policy is a Fast Track Renewal.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Code indicating if the policy is a Fast Track Renewal.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,GDRNAME,GDRNAME,"No direct mapping in the current system. GDR name is obtained thru support table GDR_NAME_TBL using GDR_SOB_CD.	

SPII
Restricted General- PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","No direct mapping in the current system. GDR name is obtained thru support table GDR_NAME_TBL using GDR_SOB_CD.	

SPII
Restricted General- PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,INCEPTIONDATE,INCEPTIONDATE,"Inception date is the date the first policy effective date is set at new business. It can change in specific States for a Reissue. This is used by Umbrella only.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","Inception date is the date the first policy effective date is set at new business. It can change in specific States for a Reissue. This is used by Umbrella only.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,DATE,DATE
SAT_PEAK_POLICY,SAT_PEAK_POLICY,Satellite containing descriptive columns related to a policy.,Satellite containing descriptive columns related to a policy.,INSURANCETYPE,INSURANCETYPE,"This is a new field as part of the modernization process. It is an insurance type within a insurance product. For example, for auto insurance product, we can have type of voluntary, assigned risk, and ceded, etc.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
","This is a new field as part of the modernization process. It is an insurance type within a insurance product. For example, for auto insurance product, we can have type of voluntary, assigned risk, and ceded, etc.	

SPII
General Non PII

Data Steward
Business: Steve Wilson / Ross Merrits	Technical: Kim Lloyd
",FALSE,FALSE,VARCHAR(16777216),VARCHAR(16777216)
