"Table Name","Column Name","Column Data_Type","Data Source Column/Data Movement Column Name","Data Source Column/Data Movement Column Physical_Data_Type","Data Source Table/Data Movement Table Name","Data Source Object Name","Data Source Object Data_Source_Import_Type","Data Source Object Data_Source_Server","Data Source Object Data_Source_System","Data Source Object Data_Source_Type",
SAT_PEAK_POLICY,GDRNAME,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,INCEPTIONDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,INSURANCETYPE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,ISFULLCOVERAGE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,ISINTERNETSALE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,ISRENEWALQUESTIONNAIREREQUIRED,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,ISSHORTTERMPOLICY,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,LASTCHANGEDINSURANCETYPE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,LASTCHANGEDLIFESEGMENT,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,LASTCHANGEDLOBCODE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,LASTCHANGEDPRIMARYRATINGSTATE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,LASTCHANGEDRISKSEGMENT,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,LASTCHANGEDWRITINGCOMPANY,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,LEGACYSYSTEMACTIVITYDATE,TIMESTAMP_NTZ(9),,,,,,,,,
SAT_PEAK_POLICY,LIFESEGMENT,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,LIFESEGMENTINCEPTIONDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,LOBCODE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,MINIMUMPREMIUM,FLOAT,,,,,,,,,
SAT_PEAK_POLICY,MINIMUMPREMIUMWRITTEN,FLOAT,,,,,,,,,
SAT_PEAK_POLICY,NONCANCELLABLE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,NONOWNEDAUTOCOVERAGETYPE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,OPTIONFORMRECEIVEDINDICATOR,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,OPTIONFORMREQUIREDINDICATOR,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,ORIGINALPOLICYEFFECTIVEDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,PAPERLESSPOLICYSTATUS,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,PAPERLESSPOLICYSTATUSDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,PARTIALPAPERLESSSTATUS,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,PAYPLAN,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,POLICYBINDERDATETIMESTAMP,TIMESTAMP_NTZ(9),,,,,,,,,
SAT_PEAK_POLICY,POLICYCLAIMSIDENTIFIER,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,POLICYNUMBER,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,POLICYTERMID,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,PREMIUM,FLOAT,,,,,,,,,
SAT_PEAK_POLICY,PREMIUMCHANGE,FLOAT,,,,,,,,,
SAT_PEAK_POLICY,PREMIUMWRITTEN,FLOAT,,,,,,,,,
SAT_PEAK_POLICY,PRIMARYRATINGSTATE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,PRODUCT,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,PRORATEDADJUSTMENTAMOUNT,FLOAT,,,,,,,,,
SAT_PEAK_POLICY,PROXYSTATUSCOUNTER,"NUMBER(38,0)",,,,,,,,,
SAT_PEAK_POLICY,RATINGTIER,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,REASONAMENDMENTCODE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,REISSUEWITHLAPSEDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,REISSUEWITHLAPSEEFFECTIVEDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,RELATIONTOPRIORPOLICYAPPLICANT,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,RENEWALSTATUS,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,REQUESTEDMAILPACKAGECODE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,RETENTIONKEY,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,RETURNEDMAILINDICATOR,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,RISKSEGMENT,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,RISKSEGMENTINCEPTIONDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,SALESTYPE,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,SOURCEOFADVERTISING,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,SOURCEOFBUSINESS,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,STATESTANDARDPOLICYINDICATOR,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,STATETENURESTARTDATE,DATE,,,,,,,,,
SAT_PEAK_POLICY,STATUS,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,SUPPRESSDOCUMENTOUTPUT,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,TENUREPOLICYYEARS,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,TERM,"NUMBER(38,0)",,,,,,,,,
SAT_PEAK_POLICY,TERMFACTOR,FLOAT,,,,,,,,,
SAT_PEAK_POLICY,TEXASPROXYSTATUS,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,UMBRELLAREFERRAL,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,WASBALANCEOVERRIDDEN,VARCHAR(16777216),,,,,,,,,
SAT_PEAK_POLICY,WRITINGCOMPANY,VARCHAR(16777216),,,,,,,,,
LNK_POLICY_INSURES_VEHICLE,POLICY_HK,BINARY(),,,,,,,,,
LNK_POLICY_INSURES_VEHICLE,POLICY_INSURES_VEHICLE_HK,BINARY(16),POLICY_ID,VARCHAR(16777216),POLICY,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
LNK_POLICY_INSURES_VEHICLE,POLICY_INSURES_VEHICLE_HK,BINARY(16),VEHICLE_ID,VARCHAR(16777216),VEHICLE,DV_POLICY_CONFORMED_PEAK,,WH_DBTVAULT_1,DV_POLICY_CONFORMED.PEAK,Relational,
LNK_POLICY_INSURES_VEHICLE,LOAD_TIMESTAMP,TIMESTAMP,,,,,,,,,
LNK_POLICY_INSURES_VEHICLE,RECORD_SOURCE,VARCHAR(100),,,,,,,,,
LNK_POLICY_INSURES_VEHICLE,VEHICLE_HK,BINARY(16),,,,,,,,,
HUB_LEGAL_ENTITY,,,,,,,,,,,
HUB_STATE,,,,,,,,,,,
HUB_PRODUCT,,,,,,,,,,,
audit_table,policy_number,VARCHAR(16777216),,,,,,,,,
audit_table,policyreadonlyhistoryid,VARCHAR(16777216),,,,,,,,,
audit_table,product,VARCHAR(16777216),,,,,,,,,
audit_table,datestamp,VARCHAR(16777216),,,,,,,,,
audit_table,pipeline_processed_date,VARCHAR(16777216),,,,,,,,,
audit_table,audit_consumer_ts,VARCHAR(16777216),,,,,,,,,
audit_table,conformed_digest,VARCHAR(16777216),,,,,,,,,
audit_table,tbl_name,VARCHAR(16777216),,,,,,,,,
driver_affinity,policy_number,VARCHAR(16777216),,,,,,,,,
driver_affinity,policyreadonlyhistoryid,VARCHAR(16777216),,,,,,,,,
driver_affinity,includedeleted,VARCHAR(16777216),,,,,,,,,
driver_affinity,productkind,VARCHAR(16777216),,,,,,,,,
driver_affinity,retrievepolicy_id,VARCHAR(16777216),,,,,,,,,
driver_affinity,data_id,VARCHAR(16777216),,,,,,,,,
driver_affinity,policy_id,VARCHAR(16777216),,,,,,,,,
driver_affinity,line_id,VARCHAR(16777216),,,,,,,,,
driver_affinity,line_change,VARCHAR(16777216),,,,,,,,,
driver_affinity,line_written,VARCHAR(16777216),,,,,,,,,
driver_affinity,driver_id,VARCHAR(16777216),,,,,,,,,
driver_affinity,driver_deleted,VARCHAR(16777216),,,,,,,,,
driver_affinity,educationoccupation_id,VARCHAR(16777216),,,,,,,,,
driver_affinity,educationoccupation_deleted,VARCHAR(16777216),,,,,,,,,
driver_affinity,driveraffinities_id,VARCHAR(16777216),,,,,,,,,
driver_affinity,driveraffinities_deleted,VARCHAR(16777216),,,,,,,,,
driver_affinity,affinity_id,VARCHAR(16777216),,,,,,,,,
driver_affinity,affinity_deleted,VARCHAR(16777216),,,,,,,,,
driver_affinity,affinitymemberkey,VARCHAR(16777216),,,,,,,,,
driver_affinity,affinitysubtype,VARCHAR(16777216),,,,,,,,,
driver_affinity,affinitytype,VARCHAR(16777216),,,,,,,,,
driver_affinity,clientaffinitykey,VARCHAR(16777216),,,,,,,,,
driver_affinity,gradelevel,VARCHAR(16777216),,,,,,,,,
driver_affinity,conformed_digest,VARCHAR(16777216),,,,,,,,,
policy,policy_number,VARCHAR(16777216),,,,,,,,,
policy,policyreadonlyhistoryid,VARCHAR(16777216),,,,,,,,,
policy,includedeleted,VARCHAR(16777216),,,,,,,,,
policy,productkind,VARCHAR(16777216),,,,,,,,,
policy,retrievepolicy_id,VARCHAR(16777216),,,,,,,,,
policy,data_id,VARCHAR(16777216),,,,,,,,,
policy,policy_id,VARCHAR(16777216),,,,,,,,,
policy,accountid,VARCHAR(16777216),,,,,,,,,
policy,agentid,VARCHAR(16777216),,,,,,,,,
policy,aipvoluntaryrateindicator,VARCHAR(16777216),,,,,,,,,
policy,applicationoriginalwrittendate,VARCHAR(16777216),,,,,,,,,
policy,availablevehiclenumberid,VARCHAR(16777216),,,,,,,,,
policy,cancellationdate,VARCHAR(16777216),,,,,,,,,
policy,cappingpreviouslobcode,VARCHAR(16777216),,,,,,,,,
policy,companyinceptiondate,VARCHAR(16777216),,,,,,,,,
policy,contractoverride,VARCHAR(16777216),,,,,,,,,
policy,contractreviewdate,VARCHAR(16777216),,,,,,,,,
policy,contracttype,VARCHAR(16777216),,,,,,,,,
policy,contracttypeassigndate,VARCHAR(16777216),,,,,,,,,
policy,corporateinceptiondate,VARCHAR(16777216),,,,,,,,,
policy,ctrauthorizationstatus,VARCHAR(16777216),,,,,,,,,
policy,ctrreceiveddate,VARCHAR(16777216),,,,,,,,,
policy,ctrsentdate,VARCHAR(16777216),,,,,,,,,
policy,declineoverride,VARCHAR(16777216),,,,,,,,,
policy,declineoverrideuser,VARCHAR(16777216),,,,,,,,,
policy,decpackagetypecode,VARCHAR(16777216),,,,,,,,,
policy,dependents,VARCHAR(16777216),,,,,,,,,
policy,effectivedate,VARCHAR(16777216),,,,,,,,,
policy,effectivetypecode,VARCHAR(16777216),,,,,,,,,
policy,expirationdate,VARCHAR(16777216),,,,,,,,,
policy,fasttrackrenewalindicator,VARCHAR(16777216),,,,,,,,,
policy,gdrname,VARCHAR(16777216),,,,,,,,,
policy,inceptiondate,VARCHAR(16777216),,,,,,,,,
policy,insurancetype,VARCHAR(16777216),,,,,,,,,
policy,isfullcoverage,VARCHAR(16777216),,,,,,,,,
policy,isinternetsale,VARCHAR(16777216),,,,,,,,,
policy,isrenewalquestionnairerequired,VARCHAR(16777216),,,,,,,,,
policy,isshorttermpolicy,VARCHAR(16777216),,,,,,,,,
policy,lastchangedinsurancetype,VARCHAR(16777216),,,,,,,,,
policy,lastchangedlifesegment,VARCHAR(16777216),,,,,,,,,
policy,lastchangedlobcode,VARCHAR(16777216),,,,,,,,,
policy,lastchangedprimaryratingstate,VARCHAR(16777216),,,,,,,,,
policy,lastchangedrisksegment,VARCHAR(16777216),,,,,,,,,
policy,lastchangedwritingcompany,VARCHAR(16777216),,,,,,,,,
policy,legacysystemactivitydate,VARCHAR(16777216),,,,,,,,,
policy,lifesegment,VARCHAR(16777216),,,,,,,,,
policy,lifesegmentinceptiondate,VARCHAR(16777216),,,,,,,,,
policy,lobcode,VARCHAR(16777216),,,,,,,,,
policy,minimumpremium,VARCHAR(16777216),,,,,,,,,
policy,minimumpremiumwritten,VARCHAR(16777216),,,,,,,,,
policy,noncancellable,VARCHAR(16777216),,,,,,,,,
policy,nonownedautocoveragetype,VARCHAR(16777216),,,,,,,,,
policy,optionformreceivedindicator,VARCHAR(16777216),,,,,,,,,
policy,optionformrequiredindicator,VARCHAR(16777216),,,,,,,,,
policy,originalpolicyeffectivedate,VARCHAR(16777216),,,,,,,,,
policy,paperlesspolicystatus,VARCHAR(16777216),,,,,,,,,
policy,paperlesspolicystatusdate,VARCHAR(16777216),,,,,,,,,
policy,partialpaperlessstatus,VARCHAR(16777216),,,,,,,,,
policy,payplan,VARCHAR(16777216),,,,,,,,,
policy,policybinderdatetimestamp,VARCHAR(16777216),,,,,,,,,
policy,policyclaimsidentifier,VARCHAR(16777216),,,,,,,,,
policy,policynumber,VARCHAR(16777216),,,,,,,,,
policy,policytermid,VARCHAR(16777216),,,,,,,,,
policy,premium,VARCHAR(16777216),,,,,,,,,
policy,premiumchange,VARCHAR(16777216),,,,,,,,,
policy,premiumwritten,VARCHAR(16777216),,,,,,,,,
policy,primaryratingstate,VARCHAR(16777216),,,,,,,,,
policy,product1,VARCHAR(16777216),,,,,,,,,
policy,proratedadjustmentamount,VARCHAR(16777216),,,,,,,,,
policy,proxystatuscounter,VARCHAR(16777216),,,,,,,,,
policy,ratingtier,VARCHAR(16777216),,,,,,,,,
policy,reasonamendmentcode,VARCHAR(16777216),,,,,,,,,
policy,reissuewithlapsedate,VARCHAR(16777216),,,,,,,,,
policy,reissuewithlapseeffectivedate,VARCHAR(16777216),,,,,,,,,
policy,relationtopriorpolicyapplicant,VARCHAR(16777216),,,,,,,,,
policy,renewalstatus,VARCHAR(16777216),,,,,,,,,
policy,requestedmailpackagecode,VARCHAR(16777216),,,,,,,,,
policy,retentionkey,VARCHAR(16777216),,,,,,,,,
policy,returnedmailindicator,VARCHAR(16777216),,,,,,,,,
policy,risksegment,VARCHAR(16777216),,,,,,,,,
policy,risksegmentinceptiondate,VARCHAR(16777216),,,,,,,,,
policy,salestype,VARCHAR(16777216),,,,,,,,,
policy,sourceofadvertising,VARCHAR(16777216),,,,,,,,,
policy,sourceofbusiness,VARCHAR(16777216),,,,,,,,,
policy,statestandardpolicyindicator,VARCHAR(16777216),,,,,,,,,
policy,statetenurestartdate,VARCHAR(16777216),,,,,,,,,
policy,status,VARCHAR(16777216),,,,,,,,,
policy,suppressdocumentoutput,VARCHAR(16777216),,,,,,,,,
policy,tenurepolicyyears,VARCHAR(16777216),,,,,,,,,
policy,term,VARCHAR(16777216),,,,,,,,,
policy,termfactor,VARCHAR(16777216),,,,,,,,,
policy,texasproxystatus,VARCHAR(16777216),,,,,,,,,
policy,umbrellareferral,VARCHAR(16777216),,,,,,,,,
policy,wasbalanceoverridden,VARCHAR(16777216),,,,,,,,,
policy,writingcompany,VARCHAR(16777216),,,,,,,,,
policy,conformed_digest,VARCHAR(16777216),,,,,,,,,
risk_coverage,policy_number,VARCHAR(16777216),,,,,,,,,
risk_coverage,policyreadonlyhistoryid,VARCHAR(16777216),,,,,,,,,
risk_coverage,includedeleted,VARCHAR(16777216),,,,,,,,,
risk_coverage,productkind,VARCHAR(16777216),,,,,,,,,
risk_coverage,retrievepolicy_id,VARCHAR(16777216),,,,,,,,,
risk_coverage,data_id,VARCHAR(16777216),,,,,,,,,
risk_coverage,policy_id,VARCHAR(16777216),,,,,,,,,
risk_coverage,line_id,VARCHAR(16777216),,,,,,,,,
risk_coverage,line_change,VARCHAR(16777216),,,,,,,,,
risk_coverage,line_written,VARCHAR(16777216),,,,,,,,,
risk_coverage,risk_id,VARCHAR(16777216),,,,,,,,,
risk_coverage,risk_deleted,VARCHAR(16777216),,,,,,,,,
risk_coverage,coverage_id,VARCHAR(16777216),,,,,,,,,
risk_coverage,coverage_deleted,VARCHAR(16777216),,,,,,,,,
risk_coverage,ACTION,VARCHAR(16777216),,,,,,,,,
risk_coverage,cancelprem,VARCHAR(16777216),,,,,,,,,
risk_coverage,change,VARCHAR(16777216),,,,,,,,,
risk_coverage,coveragecode,VARCHAR(16777216),,,,,,,,,
risk_coverage,coveragelevel,VARCHAR(16777216),,,,,,,,,
risk_coverage,effectivedate,VARCHAR(16777216),,,,,,,,,
risk_coverage,effectivetypecode,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,policy_number,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,policyreadonlyhistoryid,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,includedeleted,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,productkind,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,retrievepolicy_id,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,data_id,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,policy_id,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,line_id,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,change,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,written,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,policyratinginformation_id,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,appliedaffinity,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,appliedoccupationcode,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,appliedratetype,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,continuouslyinsuredyears,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,creditscoretier,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,householdcompositeindex,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,isunverifiableandinexperiencedpointsapplied,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,lastchangedcreditscoretier,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,northcarolinamanualbureaupremium,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,numberofinexperienceddrivers,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,numberofyouthfuldrivers,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,occupationmaritalcode,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,policyratebookdate,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,policytermreissueindicator,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,premiumratebookdate,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,ratedcompany,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,ratingactivityid,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,ratingwrittendate,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,ratingwrittendateoverride,VARCHAR(16777216),,,,,,,,,
line_policyratinginformation,conformed_digest,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,policy_number,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,policyreadonlyhistoryid,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,includedeleted,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,productkind,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,retrievepolicy_id,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,data_id,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,policy_id,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,line_id,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,line_change,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,line_written,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,driver_id,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,driver_deleted,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,driverpoints_id,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,driverpoints_deleted,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,applydriverpoints,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,driverrank,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,driverstotalnumberofoccurrences,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,inexperienceddrivernewpointsinceptiondate,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,numberofpointsduetounverifiable,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,totaldriveraccidentpoints,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,totaldriverapcpoints,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,totaldriversuspensionpoints,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,totaldriverviolationpoints,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,totalinexperiencedoperatorpoints,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,unverifiableotherthaninexperienceindicator,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,waiveinexperiencedoperatorpoints,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,waiveunverifiableduetoinexperience,VARCHAR(16777216),,,,,,,,,
driver_driverpoints,conformed_digest,VARCHAR(16777216),,,,,,,,,
line,policy_number,VARCHAR(16777216),,,,,,,,,
line,policyreadonlyhistoryid,VARCHAR(16777216),,,,,,,,,
